saleyear,salemonth,salesprice,area,beds,baths,stories,yearbuilt,neighborhood,community,lotsize,numfireplaces,fireplace
2011,10,159185.7111,1956,4,1,1.5,1918,Standish,Powderhorn,4884,0,FALSE
2014,2,239712.0575,2584,5,2,1.5,1924,Field,Nokomis,5117,1,TRUE
2010,3,290618.855,1936,3,2,2.2,1900,King Field,Southwest,4370,0,FALSE
2006,9,404915.8974,2160,3,2,1.2,1927,Howe,Longfellow,5248,1,TRUE
2012,4,120369.6894,1432,2,1,1,1918,Morris Park,Nokomis,6650,1,TRUE
2009,9,363097.0671,2780,4,3,2,1924,Minnehaha,Nokomis,8000,1,TRUE
2012,7,275204.7596,2256,3,2,1.2,1951,Kenny,Southwest,6350,2,TRUE
2009,11,201123.4661,2583,4,4,2,2000,Powderhorn Park,Powderhorn,5589,0,FALSE
2007,6,709148.4988,3326,3,3,2,1955,Fulton,Southwest,10740,2,TRUE
2005,12,218649.3286,2170,4,2,1.2,1920,Lind - Bohanon,Camden,5210,0,FALSE
2009,11,261106.8249,2520,3,2,1.2,1918,Bancroft,Powderhorn,4867,1,TRUE
2015,4,178451.7276,1440,2,1,1.2,1923,Minnehaha,Nokomis,5120,0,FALSE
2015,8,379100.3768,1840,4,2,1.7,1906,CARAG,Calhoun-Isles,5455,0,FALSE
2010,10,135365.3982,2528,3,2,1.5,1929,Victory,Camden,5946,1,TRUE
2014,10,257357.0652,2286,3,1,1.2,1938,Standish,Powderhorn,6300,0,FALSE
2013,3,392926.2534,2206,4,2,2,1925,Tangletown,Southwest,6400,1,TRUE
2015,9,485255.9937,1817,3,3,1.5,1914,Tangletown,Southwest,11190,1,TRUE
2015,7,180775.9631,1440,3,2,1,1950,Morris Park,Nokomis,5120,0,FALSE
